70  , curve_15_X10.tif    , 0.524870, 0.048744, 0.005143, 0.218434 
71  , curve_15_X15.tif    , 0.569087, 0.033516, 0.009690, 0.234646 
72  , curve_15_X18.tif    , 0.477644, 0.034195, 0.004048, 0.318261 
73  , curve_15_X21.tif    , 0.655568, 0.036163, 0.010168, 0.384805 
74  , curve_15_X25.tif    , 0.403153, 0.032722, 0.011154, 0.444292 
75  , curve_16_X10.tif    , 0.654014, 0.050720, 0.005079, 0.226903 
76  , curve_16_X15.tif    , 0.273874, 0.076744, 0.041883, 0.210763 
77  , curve_16_X18.tif    , 0.128323, 0.013098, 0.026744, 0.253227 
78  , curve_16_X21.tif    , 0.159297, 0.098741, 0.000780, 0.331679 
79  , curve_16_X25.tif    , 0.192307, 0.116209, 0.024080, 0.394585 
80  , curve_17_X10.tif    , 0.933098, 0.028060, 0.022444, 0.204191 
81  , curve_17_X15.tif    , 0.978622, 0.028190, 0.003125, 0.246405 
82  , curve_17_X18.tif    , 0.997711, 0.059493, 0.001872, 0.324260 
83  , curve_17_X21.tif    , 0.889416, 0.055075, 0.038383, 0.397607 
84  , curve_17_X25.tif    , 0.332602, 0.027943, 0.021276, 0.466789 
85  , curve_18_X10.tif    , 0.205505, 0.041816, 0.057125, 0.196533 
86  , curve_18_X15.tif    , 0.321699, 0.143181, 0.002387, 0.288344 
87  , curve_18_X18.tif    , 0.312278, 0.074870, 0.011781, 0.353675 
88  , curve_18_X21.tif    , 0.184034, 0.044204, 0.004123, 0.418753 
89  , curve_18_X25.tif    , 0.169459, 0.097324, 0.006998, 0.492927 
90  , curve_19_X10.tif    , 0.353040, 0.016895, 0.051810, 0.250294 
91  , curve_19_X15.tif    , 0.364449, 0.028816, 0.062340, 0.242460 
92  , curve_19_X18.tif    , 0.437991, 0.025987, 0.054961, 0.322884 
93  , curve_19_X21.tif    , 0.111741, 0.012557, 0.009178, 0.377098 
94  , curve_19_X25.tif    , 0.449370, 0.052231, 0.092270, 0.444065 
95  , curve_20_X10.tif    , 0.369188, 0.038007, 0.000614, 0.173898 
96  , curve_20_X15.tif    , 0.103531, 0.035680, 0.033301, 0.201171 
97  , curve_20_X18.tif    , 0.116030, 0.085539, 0.032429, 0.299185 
98  , curve_20_X21.tif    , 0.134835, 0.073851, 0.003819, 0.418453 
99  , curve_20_X25.tif    , 0.177625, 0.088819, 0.034760, 0.500857 
100 , curve_21_X10.tif    , 0.964221, 0.044951, 0.009025, 0.229979 
101 , curve_21_X15.tif    , 0.990997, 0.058964, 0.000501, 0.255769 
