0   , curve_01_X10.tif, [0.1316 0.042 ], 0.0102, 0.1346
1   , curve_01_X15.tif, [0.2075 0.0222], 0.0170, 0.2516
2   , curve_01_X18.tif, [0.1347 0.0837], 0.0452, 0.3395
3   , curve_01_X21.tif, [0.8335 0.1002], 0.0335, 0.4214
4   , curve_01_X25.tif, [0.619  0.0378], 0.0110, 0.4688
5   , curve_02_X10.tif, [0.2428 0.0217], 0.0444, 0.2525
6   , curve_02_X15.tif, [0.122  0.0868], 0.0007, 0.2741
7   , curve_02_X18.tif, [0.3147 0.0274], 0.0047, 0.3113
8   , curve_02_X21.tif, [0.5807 0.0392], 0.0253, 0.3498
9   , curve_02_X25.tif, [0.3518 0.0318], 0.0231, 0.3735
10  , curve_03_X10.tif, [0.4312 0.0188], 0.0530, 0.1953
11  , curve_03_X15.tif, [0.634  0.0483], 0.0073, 0.2957
12  , curve_03_X18.tif, [0.342  0.0554], 0.0085, 0.4595
13  , curve_03_X21.tif, [0.1612 0.0197], 0.0274, 0.5967
14  , curve_03_X25.tif, [0.6318 0.0961], 0.0006, 0.7052
15  , curve_04_X10.tif, [0.2262 0.0281], 0.0062, 0.2555
16  , curve_04_X15.tif, [0.5498 0.0858], 0.0290, 0.2652
17  , curve_04_X18.tif, [0.3767 0.0418], 0.0024, 0.3269
18  , curve_04_X21.tif, [0.2223 0.1263], 0.0059, 0.3606
19  , curve_04_X25.tif, [0.1655 0.1121], 0.0028, 0.3787
20  , curve_05_X10.tif, [0.4476 0.0276], 0.0214, 0.2102
21  , curve_05_X15.tif, [0.5968 0.0255], 0.0109, 0.2113
22  , curve_05_X18.tif, [0.8371 0.0259], 0.0082, 0.2715
23  , curve_05_X21.tif, [0.3686 0.0484], 0.0074, 0.2741
24  , curve_05_X25.tif, [0.7027 0.1072], 0.0028, 0.2939
25  , curve_06_X10.tif, [0.2635 0.0356], 0.0092, 0.2865
26  , curve_06_X15.tif, [0.232  0.0324], 0.0044, 0.2490
27  , curve_06_X18.tif, [0.3498 0.0406], 0.0004, 0.4532
28  , curve_06_X21.tif, [0.4002 0.0331], 0.0054, 0.5446
29  , curve_06_X25.tif, [0.8178 0.1932], 0.0022, 0.6800
30  , curve_07_X10.tif, [0.4136 0.0442], 0.0061, 0.2411
31  , curve_07_X15.tif, [0.8271 0.0352], 0.0073, 0.2807
32  , curve_07_X18.tif, [0.9423 0.0438], 0.0037, 0.3513
33  , curve_07_X21.tif, [0.477  0.0678], 0.0019, 0.4277
34  , curve_07_X25.tif, [0.9064 0.0625], 0.0008, 0.4756
35  , curve_08_X10.tif, [0.6185 0.0325], 0.0244, 0.2041
36  , curve_08_X15.tif, [0.9585 0.0524], 0.0145, 0.2892
37  , curve_08_X18.tif, [0.3273 0.0772], 0.0027, 0.3811
38  , curve_08_X21.tif, [0.8142 0.0396], 0.0021, 0.4432
39  , curve_08_X25.tif, [0.7863 0.089 ], 0.0066, 0.5086
40  , curve_09_X10.tif, [0.3144 0.0121], 0.0055, 0.2417
41  , curve_09_X15.tif, [0.8996 0.0244], 0.0070, 0.2116
42  , curve_09_X18.tif, [0.7122 0.0311], 0.0061, 0.2259
43  , curve_09_X21.tif, [0.9759 0.047 ], 0.0024, 0.2419
44  , curve_09_X25.tif, [0.3077 0.0122], 0.0326, 0.2204
45  , curve_10_X10.tif, [0.7784 0.0318], 0.0668, 0.2488
46  , curve_10_X15.tif, [0.2968 0.0203], 0.0036, 0.2685
47  , curve_10_X18.tif, [0.2751 0.1287], 0.0114, 0.3698
48  , curve_10_X21.tif, [0.4361 0.0279], 0.0158, 0.4541
49  , curve_10_X25.tif, [0.4189 0.0157], 0.0263, 0.4780
50  , curve_11_X10.tif, [0.9724 0.0513], 0.0026, 0.2122
51  , curve_11_X15.tif, [0.9554 0.0422], 0.0033, 0.1584
52  , curve_11_X18.tif, [0.8164 0.059 ], 0.0030, 0.2164
53  , curve_11_X21.tif, [0.3646 0.0385], 0.0024, 0.2582
54  , curve_11_X25.tif, [0.3191 0.0507], 0.0005, 0.3287
55  , curve_12_X10.tif, [0.1715 0.0195], 0.0024, 0.2036
56  , curve_12_X15.tif, [0.2569 0.1523], 0.0042, 0.2884
57  , curve_12_X18.tif, [0.2118 0.1253], 0.0102, 0.3733
58  , curve_12_X21.tif, [0.1857 0.1651], 0.0094, 0.4795
59  , curve_12_X25.tif, [0.1176 0.0212], 0.0020, 0.6102
60  , curve_13_X10.tif, [0.7055 0.0252], 0.0357, 0.3123
61  , curve_13_X15.tif, [0.9243 0.0828], 0.0083, 0.2626
62  , curve_13_X18.tif, [0.6707 0.0777], 0.0107, 0.3688
63  , curve_13_X21.tif, [0.2042 0.0149], 0.0093, 0.4103
64  , curve_13_X25.tif, [0.5562 0.1598], 0.0001, 0.5204
65  , curve_14_X10.tif, [0.4966 0.011 ], 0.0084, 0.2345
66  , curve_14_X15.tif, [0.9765 0.0494], 0.0130, 0.2367
67  , curve_14_X18.tif, [0.4947 0.0749], 0.0052, 0.3614
68  , curve_14_X21.tif, [0.533  0.0519], 0.0032, 0.4661
69  , curve_14_X25.tif, [0.6142 0.0941], 0.0006, 0.5219
70  , curve_15_X10.tif, [0.5436 0.0264], 0.0233, 0.2423
71  , curve_15_X15.tif, [0.9043 0.019 ], 0.0008, 0.2800
72  , curve_15_X18.tif, [0.153  0.0237], 0.0212, 0.3705
73  , curve_15_X21.tif, [0.1546 0.1359], 0.0343, 0.3996
74  , curve_15_X25.tif, [0.1303 0.0297], 0.0052, 0.5150
75  , curve_16_X10.tif, [0.8242 0.0254], 0.0155, 0.2744
76  , curve_16_X15.tif, [0.604  0.0255], 0.0508, 0.2608
77  , curve_16_X18.tif, [0.803  0.0491], 0.0095, 0.3839
78  , curve_16_X21.tif, [0.9064 0.0322], 0.0010, 0.4368
79  , curve_16_X25.tif, [0.5578 0.0587], 0.0021, 0.5217
80  , curve_17_X10.tif, [0.3729 0.0106], 0.0026, 0.2562
81  , curve_17_X15.tif, [0.3939 0.1226], 0.0063, 0.2624
82  , curve_17_X18.tif, [0.2794 0.0931], 0.0258, 0.3150
83  , curve_17_X21.tif, [0.211  0.1849], 0.0074, 0.4218
84  , curve_17_X25.tif, [0.1894 0.1825], 0.0106, 0.4559
85  , curve_18_X10.tif, [0.617  0.0229], 0.0039, 0.2442
86  , curve_18_X15.tif, [0.9722 0.0219], 0.0165, 0.2676
87  , curve_18_X18.tif, [0.2964 0.0371], 0.0304, 0.3616
88  , curve_18_X21.tif, [0.6318 0.0273], 0.0044, 0.4307
89  , curve_18_X25.tif, [0.6317 0.0257], 0.0075, 0.4820
90  , curve_19_X10.tif, [0.3517 0.0118], 0.0167, 0.2379
91  , curve_19_X15.tif, [0.9844 0.027 ], 0.0006, 0.2594
92  , curve_19_X18.tif, [0.3341 0.089 ], 0.0040, 0.3340
93  , curve_19_X21.tif, [0.9993 0.1202], 0.0065, 0.4040
94  , curve_19_X25.tif, [0.5997 0.0367], 0.0062, 0.4627
95  , curve_20_X10.tif, [0.784  0.0324], 0.0193, 0.2653
96  , curve_20_X15.tif, [0.1625 0.0257], 0.0001, 0.1881
97  , curve_20_X18.tif, [0.4464 0.0647], 0.0321, 0.2958
98  , curve_20_X21.tif, [0.2671 0.0316], 0.0484, 0.3500
99  , curve_20_X25.tif, [0.4825 0.0215], 0.0317, 0.4078
100 , curve_21_X10.tif, [0.2309 0.0334], 0.0061, 0.3002
101 , curve_21_X15.tif, [0.7351 0.095 ], 0.0018, 0.3030
102 , curve_21_X18.tif, [0.2175 0.1651], 0.0146, 0.3706
103 , curve_21_X21.tif, [0.9803 0.1527], 0.0106, 0.4174
104 , curve_21_X25.tif, [0.1003 0.0729], 0.0068, 0.4697
105 , curve_22_X10.tif, [0.7364 0.0353], 0.1187, 0.2298
106 , curve_22_X15.tif, [0.8463 0.079 ], 0.0065, 0.2387
107 , curve_22_X18.tif, [0.9121 0.0295], 0.0024, 0.3146
108 , curve_22_X21.tif, [0.2741 0.0294], 0.0105, 0.3650
109 , curve_22_X25.tif, [0.9502 0.0469], 0.0005, 0.4302
110 , curve_23_X10.tif, [0.1396 0.0255], 0.0031, 0.2895
111 , curve_23_X15.tif, [0.1642 0.0269], 0.0487, 0.2469
112 , curve_23_X18.tif, [0.1031 0.1008], 0.0541, 0.3926
113 , curve_23_X21.tif, [0.5132 0.0267], 0.0088, 0.4463
114 , curve_23_X25.tif, [0.2065 0.1805], 0.0014, 0.5621
115 , curve_24_X10.tif, [0.857  0.0577], 0.0034, 0.2897
116 , curve_24_X15.tif, [0.571  0.0325], 0.0004, 0.2487
